country,csi,far,objective_function,pod,pofd,station,threshold,threshol_num,threshold_num
kenya,0.0375,0.875,0.9120762711864407,0.05084745762711865,0.2625,G5171,Q65,65,65
kenya,0.03225806451612903,0.8571428571428571,0.9085714285714286,0.04,0.1935483870967742,G5173,Q70,70,70
kenya,0.05970149253731343,0.8620689655172413,0.8834154351395731,0.09523809523809523,0.373134328358209,G5197,Q50,50,50
kenya,0.0,1.0,1.0,0.0,0.08163265306122448,G5198,Q90,90,90
kenya,0.05084745762711865,0.7777777777777778,0.8579610538373426,0.061855670103092786,0.17796610169491525,G5208,Q50,50,50
kenya,0.023668639053254437,0.6,0.7877300613496933,0.024539877300613498,0.03550295857988166,G5299,Q80,80,80
kenya,0.030612244897959183,0.75,0.8581460674157304,0.033707865168539325,0.09183673469387756,G5305,Q70,70,70
kenya,0.039603960396039604,0.75,0.8525280898876404,0.0449438202247191,0.1188118811881188,G5326,Q70,70,70
kenya,0.01,0.75,0.8698453608247423,0.010309278350515464,0.03,G5332,Q90,90,90
kenya,0.008849557522123894,0.9523809523809523,0.9708141321044547,0.010752688172043012,0.17699115044247787,F0031,Q65,65,65
kenya,0.03333333333333333,0.8571428571428571,0.9077380952380952,0.041666666666666664,0.2,KE_GVS1,Q85,85,85
kenya,0.02857142857142857,0.7777777777777778,0.873015873015873,0.031746031746031744,0.1,KE_GVS2,Q80,80,80
kenya,0.04878048780487805,0.7894736842105263,0.8648860958366065,0.05970149253731343,0.18292682926829268,KE_GVS3,Q60,60,60
kenya,0.06666666666666667,0.5294117647058824,0.7286698463169051,0.07207207207207207,0.075,KE_GVS4,Q65,65,65
kenya,0.03125,0.9,0.9282608695652175,0.043478260869565216,0.28125,KE_GVS5,Q75,75,75
kenya,0.045454545454545456,0.72,0.8342647058823529,0.051470588235294115,0.11688311688311688,KE_GVS6,Q60,60,60
kenya,0.0625,0.896551724137931,0.8800940438871474,0.13636363636363635,0.5416666666666666,KE_GVS7,Q50,50,50
kenya,0.041666666666666664,0.8235294117647058,0.8859026369168357,0.05172413793103448,0.19444444444444445,KE_GVS8,Q65,65,65
kenya,0.04854368932038835,0.7619047619047619,0.8522167487684729,0.05747126436781609,0.1553398058252427,KE_GVS9,Q60,60,60
kenya,0.06060606060606061,0.8461538461538461,0.8776223776223776,0.09090909090909091,0.3333333333333333,KE_GVS10,Q50,50,50
kenya,0.0,1.0,1.0,0.0,0.1794871794871795,KE_GVS11,Q85,85,85
kenya,0.05263157894736842,0.8076923076923077,0.8700623700623701,0.06756756756756757,0.22105263157894736,KE_GVS12,Q60,60,60
kenya,0.02040816326530612,0.8571428571428571,0.9169435215946844,0.023255813953488372,0.12244897959183673,KE_GVS13,Q85,85,85
kenya,0.03333333333333333,0.9230769230769231,0.9337606837606838,0.05555555555555555,0.4,KE_GVS14,Q70,70,70
kenya,0.03571428571428571,0.9090909090909091,0.9267676767676767,0.05555555555555555,0.35714285714285715,KE_GVS15,Q70,70,70
kenya,0.047619047619047616,0.8461538461538461,0.8908188585607941,0.06451612903225806,0.2619047619047619,KE_GVS16,Q65,65,65
kenya,0.0,1.0,1.0,0.0,0.1694915254237288,KE_GVS17,Q75,75,75
kenya,0.0,1.0,1.0,0.0,0.14583333333333334,KE_GVS18,Q85,85,85
kenya,0.0,1.0,1.0,0.0,0.6842105263157895,KE_GVS19,Q75,75,75
kenya,0.0,1.0,1.0,0.0,0.2875,KE_GVS20,Q60,60,60
kenya,0.0,1.0,1.0,0.0,0.12727272727272726,KE_GVS21,Q70,70,70
kenya,0.03418803418803419,0.6363636363636364,0.8,0.03636363636363636,0.05982905982905983,KE_GVS23,Q75,75,75
uganda,0.0,1.0,1.0,0.0,0.9523809523809523,G5163,Q50,50,50
uganda,0.0,1.0,1.0,0.0,0.9,G5195,Q50,50,50
uganda,0.03333333333333333,0.8333333333333334,0.8966666666666667,0.04,0.16666666666666666,G5196,Q80,80,80
uganda,0.014705882352941176,0.875,0.9293032786885246,0.01639344262295082,0.10294117647058823,G5200,Q80,80,80
uganda,0.0,1.0,1.0,0.0,0.13793103448275862,G6106,Q80,80,80
uganda,0.012345679012345678,0.8333333333333334,0.9100877192982456,0.013157894736842105,0.06172839506172839,F0030,Q85,85,85
uganda,0.024096385542168676,0.8,0.8866666666666667,0.02666666666666667,0.0963855421686747,F0032,Q80,80,80
uganda,0.028985507246376812,0.75,0.8591269841269842,0.031746031746031744,0.08695652173913043,F0034,Q80,80,80
uganda,0.0,1.0,1.0,0.0,0.038461538461538464,F0035,Q60,60,60
uganda,0.0,1.0,1.0,0.0,0.06153846153846154,F0037,Q90,90,90
uganda,0.0,1.0,1.0,0.0,0.22077922077922077,F0039,Q65,65,65
uganda,0.0,1.0,1.0,0.0,0.6153846153846154,F0041,Q65,65,65
uganda,0.0,1.0,1.0,0.0,0.2682926829268293,F0042,Q75,75,75
uganda,0.0,1.0,1.0,0.0,0.35714285714285715,UG_GVS1,Q70,70,70
uganda,0.0,1.0,1.0,0.0,0.3076923076923077,UG_GVS2,Q90,90,90
uganda,0.0,1.0,1.0,0.0,0.7272727272727273,UG_GVS3,Q80,80,80
uganda,0.0196078431372549,0.9444444444444444,0.957516339869281,0.029411764705882353,0.3333333333333333,UG_GVS4,Q60,60,60
uganda,0.01694915254237288,0.9629629629629629,0.9663299663299663,0.030303030303030304,0.4406779661016949,UG_GVS5,Q50,50,50
uganda,0.046511627906976744,0.8571428571428571,0.8963133640552996,0.06451612903225806,0.27906976744186046,UG_GVS6,Q70,70,70
uganda,0.0,1.0,1.0,0.0,0.6774193548387096,UG_GVS7,Q65,65,65
