ID,Country,station,location,lon,lat,Q50,Q80,Q90
G5170,Kenya,G5170,Na,36.05,3.15,,,
G5171,Kenya,G5171,Na,36.15,2.95,0.0,535.2216552734386,1275.4797485351562
G5173,Kenya,G5173,Na,37.45,2.85,,,
G5197,Kenya,G5197,Na,38.75,1.45,,,
G5198,Kenya,G5198,Na,38.85,1.45,,,
G5208,Kenya,G5208,Na,39.25,1.15,,,
G5210,Kenya,G5210,Na,39.25,1.05,,,
G5299,Kenya,G5299,Na,37.75,-0.75,,,
G5305,Kenya,G5305,Na,39.95,-1.55,,,
G5326,Kenya,G5326,Na,40.15,-1.95,,,
G5332,Kenya,G5332,Na,40.05,-2.05,,,
F0031,Kenya,F0031,R.Sio,34.04999924,0.150000006,,,
KE_GVS1,Kenya,KE_GVS1,,40.46,2.93,,,
KE_GVS2,Kenya,KE_GVS2,,38.87,2.58,,,
KE_GVS3,Kenya,KE_GVS3,,37.46,1.65,,,
KE_GVS4,Kenya,KE_GVS4,,36.25,1.54,,,
KE_GVS5,Kenya,KE_GVS5,,35.44,1.81,,,
KE_GVS6,Kenya,KE_GVS6,,35.75,1.64,,,
KE_GVS7,Kenya,KE_GVS7,,35.35,2.64,,,
KE_GVS8,Kenya,KE_GVS8,,34.85,4.95,,,
KE_GVS9,Kenya,KE_GVS9,,38.77,-2.36,,,
KE_GVS10,Kenya,KE_GVS10,,39.16,-3.46,,,
KE_GVS11,Kenya,KE_GVS11,,39.27,-3.05,,,
KE_GVS12,Kenya,KE_GVS12,,39.15,-0.15,,,
KE_GVS13,Kenya,KE_GVS13,,41.16,-1.65,,,
KE_GVS14,Kenya,KE_GVS14,,40.26,0.16,,,
KE_GVS15,Kenya,KE_GVS15,,40.65,1.25,,,
KE_GVS16,Kenya,KE_GVS16,,41.75,3.94,,,
KE_GVS17,Kenya,KE_GVS17,,35.15,-1.16,,,
KE_GVS18,Kenya,KE_GVS18,,34.45,-1.05,,,
KE_GVS19,Kenya,KE_GVS19,,35.14,-0.46,,,
KE_GVS20,Kenya,KE_GVS20,,34.76,0.55,,,
KE_GVS21,Kenya,KE_GVS21,,38.03,0.74,,,
KE_GVS22,Kenya,KE_GVS22,,37.55,-2.35,,,
KE_GVS23,Kenya,KE_GVS23,,38.05,-2.24,,,
